State,Beginning  Salary,Mid-Career  Salary
Alabama,41200,78066
Alaska,45900,72600
Arizona,47450,85100
Arkansas,40600,73533
California,55950,98230
Colorado,46920,89400
Connecticut,49025,80300
Delaware,45900,84500
District of Columbia,48550,95125
Florida,42544,69477
Georgia,49050,89400
Hawaii,43800,76000
Idaho,44900,77700
Illinois,43583,75058
Indiana,43600,77140
Iowa,44233,81700
Kansas,42033,72933
Kentucky,38800,69450
Louisiana,45700,86633
Maine,44000,84800
Maryland,49500,86400
Massachusetts,57150,98300
Michigan,44000,74483
Minnesota,44228,81742
Mississippi,42950,79500
Missouri,44680,74800
Montana,37600,61250
Nebraska,43600,76750
Nevada,45850,77250
New Hampshire,41800,78300
New Jersey,52500,97433
New Mexico,42950,84833
New York,51450,97000
North Carolina,43387,76550
North Dakota,44500,79200
Ohio,48000,79500
Oklahoma,42500,75966
Oregon,42200,76300
Pennsylvania,50800,95300
Rhode Island,47525,90650
South Carolina,44200,78850
South Dakota,44066,70266
Tennessee,43183,65483
Texas,45525,78000
Utah,44375,72725
Vermont,46250,88450
Virginia,46500,85433
Washington,44128,77671
West Virginia,43100,78100
Wisconsin,42425,72491
Wyoming,44500,78700
